,NUMBER,HoleId,From,To,X,Y,Z,AI,Cu%,Mo%,AgPPM,AuPPM,Pb%,Zn%,Al%,Asppm,Ca%,Fe%,K%,Mg%,Na%,S%,CUSS,CUCN,CUSS/CU%,IS,Mineralización,LITHO,LITHO por Nombre,SPI,BWI,LITMD,LITMD por Nombre,Sample ID,MINI-bond TEST
39,40,PO-10-019,130.0,132.0,204864.05,8398013.5,4512.245,2.0,0.768,0.011,2.3,0.359,0.002,0.029,1.01,30.0,1.4,56.67,0.68,1.0,0.08,0.66,0.087,0.184,0.11,0.35,Mixto,5,Skarn,43.93,7.04,3,Skarn,MX-MV023,0.0
40,41,PO-11-056,147.6,150.0,204889.92,8398105.4,4540.067,2.4,1.099,0.022,22.9,0.435,0.023,0.083,4.4,270.0,7.29,15.54,2.51,2.0,0.38,0.82,0.082,0.223,0.07,0.28,Hipógeno,5,Skarn,86.21,14.68,3,Skarn,MX-MV024,0.0
41,42,PO-11-084,66.0,69.0,204915.79,8398197.3,4567.889,3.0,0.154,0.007,1.4,0.114,0.028,0.046,9.11,70.0,6.36,2.437,2.95,1.0,1.51,0.28,0.013,0.041,0.08,0.35,Mixto,2,Diorite,150.26,20.2,5,Diorite,MX-MV025,0.0
42,43,PO-10-015,144.0,147.0,204941.66,8398289.2,4595.711,3.0,1.02,0.026,7.6,0.518,0.037,0.123,6.0,40.0,7.31,15.86,1.3,2.0,1.18,0.85,0.062,0.158,0.06,0.22,Hipógeno,4,Endoskarn,195.86,20.41,3,Skarn,MX-MV026,0.0
43,44,PO-10-017,164.0,170.3,204967.53,8398381.1,4623.533,6.3,1.368,0.008,9.4,0.418,0.014,0.1,2.21,190.0,10.0,21.4,0.87,2.0,0.05,1.18,0.148,0.35,0.11,0.36,Mixto,5,Skarn,90.35,22.0,3,Skarn,MX-MV027,0.0
44,45,PO-10-019,160.0,165.0,204993.4,8398473.0,4651.355,5.0,1.506,0.166,8.9,0.569,0.067,0.117,0.41,50.0,3.5,44.77,0.19,2.0,0.03,1.46,0.287,0.572,0.19,0.57,Mixto,5,Skarn,53.56,10.78,3,Skarn,MX-MV028,0.0
45,46,PO-10-024,109.2,111.5,205019.27,8398564.9,4679.177,2.3,0.686,0.001,6.5,0.255,0.103,0.221,2.25,30.0,4.94,35.82,0.62,1.0,0.38,1.11,0.05,0.15,0.07,0.29,Hipógeno,5,Skarn,53.48,12.89,3,Skarn,MX-MV029,0.0
46,47,PO-10-038,81.7,84.5,205045.14,8398656.8,4706.999,2.8,0.835,0.005,10.9,0.192,0.064,0.249,0.88,140.0,7.57,22.3,0.15,3.0,0.03,2.86,0.02,0.139,0.02,0.19,Hipógeno,5,Skarn,116.09,16.9,3,Skarn,MX-MV030,0.0
47,48,PO-11-054,189.0,193.7,205071.01,8398748.7,4734.821,4.7,0.439,0.001,4.0,0.29,0.067,0.049,4.3,30.0,10.12,12.32,1.31,1.0,0.29,0.48,0.109,0.225,0.25,0.76,Supergeno,5,Skarn,130.16,14.87,3,Skarn,MX-MV031,0.0
48,49,PO-11-057,180.0,183.0,205096.88,8398840.6,4762.643,3.0,0.655,0.148,2.0,0.425,0.004,0.029,2.84,30.0,2.68,31.51,2.27,2.0,0.17,0.7,0.072,0.164,0.11,0.36,Mixto,5,Skarn,52.52,12.86,3,Skarn,MX-MV032,1.0
